product_id,sku,name,description,features,material,length_mm,dimensions,capacity,weight_kg,corrosion_resistant,uom,country_of_manufacture,category_id,timestamp,processed_timestamp
DA4120,DA4120,Aluminium Part Extension Slide DA4120,"Aluminium part extension slide DA4120 with a load rating of upto 438-550kg, heavy duty with 75% extension, corrosion resistant with a smooth movement and used for vehicle batteries within automotive sector",DA - Aluminium Heavy Duty Slide Used for vehicle batteries wiithin automotive sector Temperature Range Between -20º & 110º C Life time guarantee: it's Quick Ship ™ slides against defects in material and workmanship. Please Read more under Help and policy section.,aluminium,,,"{'min': 438.0, 'max': 550.0, 'unit': 'kg'}",,False,Each,,61.0,2025-11-17 09:32:36.077224,2025-11-17T09:40:42.470026
DA4120-0040,DA4120-0040,Aluminium Part Extension Slide 400mm DA4120-0040,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,2.35,False,,,61.0,2025-11-17 09:32:36.077268,2025-11-17T09:40:42.470026
DA4120-0050,DA4120-0050,Aluminium Part Extension Slide 500mm DA4120-0050,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,2.93,False,,,61.0,2025-11-17 09:32:36.077294,2025-11-17T09:40:42.470026
DA4120-0060,DA4120-0060,Aluminium Part Extension Slide 600mm DA4120-0060,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,3.53,False,,,61.0,2025-11-17 09:32:36.077316,2025-11-17T09:40:42.470026
DA4120-0070,DA4120-0070,Aluminium Part Extension Slide 700mm DA4120-0070,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,4.11,False,,,61.0,2025-11-17 09:32:36.077340,2025-11-17T09:40:42.470026
DA4120-0080,DA4120-0080,Aluminium Part Extension Slide 800mm DA4120-0080,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,4.68,False,,,61.0,2025-11-17 09:32:36.077362,2025-11-17T09:40:42.470026
DA4120-0090,DA4120-0090,Aluminium Part Extension Slide 900mm DA4120-0090,,,aluminium,17427.0,"{'length_mm': [900.0], 'thickness_mm': [], 'extension_percent': []}",,5.3,False,,,61.0,2025-11-17 09:32:36.077387,2025-11-17T09:40:42.470026
DA4120-0100,DA4120-0100,Aluminium Part Extension Slide 1000mm DA4120-0100,,,aluminium,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,5.83,False,,,61.0,2025-11-17 09:32:36.077410,2025-11-17T09:40:42.470026
DA4120-0110,DA4120-0110,Aluminium Part Extension Slide 1100mm DA4120-0110,,,aluminium,17433.0,"{'length_mm': [1100.0], 'thickness_mm': [], 'extension_percent': []}",,6.4,False,,,61.0,2025-11-17 09:32:36.077432,2025-11-17T09:40:42.470026
DA4120-0120,DA4120-0120,Aluminium Part Extension Slide 1200mm DA4120-0120,,,aluminium,17436.0,"{'length_mm': [1200.0], 'thickness_mm': [], 'extension_percent': []}",,6.95,False,,,61.0,2025-11-17 09:32:36.077453,2025-11-17T09:40:42.470026
DA4120-0040,DA4120-0040,Aluminium Part Extension Slide 400mm DA4120-0040,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077479,2025-11-17T09:40:42.470026
DA4120-0050,DA4120-0050,Aluminium Part Extension Slide 500mm DA4120-0050,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077505,2025-11-17T09:40:42.470026
DA4120-0060,DA4120-0060,Aluminium Part Extension Slide 600mm DA4120-0060,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077532,2025-11-17T09:40:42.470026
DA4120-0070,DA4120-0070,Aluminium Part Extension Slide 700mm DA4120-0070,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077557,2025-11-17T09:40:42.470026
DA4120-0080,DA4120-0080,Aluminium Part Extension Slide 800mm DA4120-0080,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077583,2025-11-17T09:40:42.470026
DA4120-0090,DA4120-0090,Aluminium Part Extension Slide 900mm DA4120-0090,,,aluminium,17427.0,"{'length_mm': [900.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077608,2025-11-17T09:40:42.470026
DA4120-0100,DA4120-0100,Aluminium Part Extension Slide 1000mm DA4120-0100,,,aluminium,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077634,2025-11-17T09:40:42.470026
DA4120-0110,DA4120-0110,Aluminium Part Extension Slide 1100mm DA4120-0110,,,aluminium,17433.0,"{'length_mm': [1100.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077661,2025-11-17T09:40:42.470026
DA4120-0120,DA4120-0120,Aluminium Part Extension Slide 1200mm DA4120-0120,,,aluminium,17436.0,"{'length_mm': [1200.0], 'thickness_mm': [], 'extension_percent': []}",,,False,Each,,61.0,2025-11-17 09:32:36.077687,2025-11-17T09:40:42.470026
DA4140,DA4140,Aluminium Extra Heavy Duty Full Extension Slide DA4140,"Aluminium extra heavy duty slide DA4140 with a load rating of upto 400-600kg, 100% extension, corrosion resistant and 38mm slide thickness.","DA - Aluminium Heavy Duty Slide Used in Industrial, medical and furniture cabinet hardware Temperature Range Between -20º & 110º C Life time guarantee: it's Quick Ship ™ slides against defects in material and workmanship. Please Read more under Help and policy section.",aluminium,,"{'length_mm': [38.0], 'thickness_mm': [], 'extension_percent': []}","{'min': 400.0, 'max': 600.0, 'unit': 'kg'}",,False,Each,,61.0,2025-11-17 09:32:36.077744,2025-11-17T09:40:42.470026
DA4140-0040,DA4140-0040,Aluminium Extra Heavy Duty Full Extension Slide 400mm DA4140-0040,,,aluminium,17394.0,"{'length_mm': [400.0], 'thickness_mm': [], 'extension_percent': []}",,4.71,False,,,61.0,2025-11-17 09:32:36.077768,2025-11-17T09:40:42.470026
DA4140-0050,DA4140-0050,Aluminium Extra Heavy Duty Full Extension Slide 500mm DA4140-0050,,,aluminium,17403.0,"{'length_mm': [500.0], 'thickness_mm': [], 'extension_percent': []}",,5.78,False,,,61.0,2025-11-17 09:32:36.077791,2025-11-17T09:40:42.470026
DA4140-0060,DA4140-0060,Aluminium Extra Heavy Duty Full Extension Slide 600mm DA4140-0060,,,aluminium,17409.0,"{'length_mm': [600.0], 'thickness_mm': [], 'extension_percent': []}",,7.01,False,,,61.0,2025-11-17 09:32:36.077814,2025-11-17T09:40:42.470026
DA4140-0070,DA4140-0070,Aluminium Extra Heavy Duty Full Extension Slide 700mm DA4140-0070,,,aluminium,17415.0,"{'length_mm': [700.0], 'thickness_mm': [], 'extension_percent': []}",,8.14,False,,,61.0,2025-11-17 09:32:36.077835,2025-11-17T09:40:42.470026
DA4140-0080,DA4140-0080,Aluminium Extra Heavy Duty Full Extension Slide 800mm DA4140-0080,,,aluminium,17421.0,"{'length_mm': [800.0], 'thickness_mm': [], 'extension_percent': []}",,9.22,False,,,61.0,2025-11-17 09:32:36.077858,2025-11-17T09:40:42.470026
DA4140-0090,DA4140-0090,Aluminium Extra Heavy Duty Full Extension Slide 900mm DA4140-0090,,,aluminium,17427.0,"{'length_mm': [900.0], 'thickness_mm': [], 'extension_percent': []}",,10.42,False,,,61.0,2025-11-17 09:32:36.077880,2025-11-17T09:40:42.470026
DA4140-0100,DA4140-0100,Aluminium Extra Heavy Duty Full Extension Slide 1000mm DA4140-0100,,,aluminium,17430.0,"{'length_mm': [1000.0], 'thickness_mm': [], 'extension_percent': []}",,11.61,False,,,61.0,2025-11-17 09:32:36.077904,2025-11-17T09:40:42.470026
DA4140-0110,DA4140-0110,Aluminium Extra Heavy Duty Full Extension Slide 1100mm DA4140-0110,,,aluminium,17433.0,"{'length_mm': [1100.0], 'thickness_mm': [], 'extension_percent': []}",,12.7,False,,,61.0,2025-11-17 09:32:36.077926,2025-11-17T09:40:42.470026
